SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,INDUSTRY
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1,Financial Services
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10,Diversified
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2,Capital Goods
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10,Construction Materials
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2,Capital Goods
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2,Capital Goods
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,Financial Services
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5,Chemicals
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10,Financial Services
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10,Healthcare
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2,Capital Goods
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10,Power
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1,Metals & Mining
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10,Power
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2,Services
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10,Power
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1,Oil Gas & Consumable Fuels
AWL,Adani Wilmar Limited,EQ,08-FEB-2022,1,1,INE699H01024,1,Fast Moving Consumer Goods
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10,Financial Services
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10,Consumer Services
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1,Oil Gas & Consumable Fuels
AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10,Chemicals
AFFLE,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2,Information Technology
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2,Healthcare
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2,Healthcare
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,Healthcare
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2,Chemicals
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2,Services
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1,Textiles
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1,1,INE885A01032,1,Automobile and Auto Components
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10,Consumer Durables
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,Construction Materials
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5,Financial Services
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10,Financial Services
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10,Chemicals
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,Capital Goods
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,Healthcare
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,Automobile and Auto Components
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2,Financial Services
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2,Chemicals
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1,Capital Goods
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,Consumer Durables
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10,Healthcare
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2,Healthcare
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1,Capital Goods
