SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,INDUSTRY
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1,Metals & Mining
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2,Services
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,Healthcare
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,Consumer Durables
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,Financial Services
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,INE296A01024,2,Financial Services
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1,Financial Services
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5,Telecommunication
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1,Fast Moving Consumer Goods
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2,Healthcare
COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10,Oil Gas & Consumable Fuels
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2,Healthcare
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5,1,INE089A01023,5,Healthcare
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1,1,INE066A01021,1,Automobile and Auto Components
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2,Construction Materials
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2,1,INE860A01027,2,Information Technology
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1,Financial Services
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10,1,INE795G01014,10,Financial Services
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2,1,INE158A01026,2,Automobile and Auto Components
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1,1,INE038A01020,1,Metals & Mining
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1,1,INE030A01027,1,Fast Moving Consumer Goods
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2,Financial Services
ITC,ITC Limited,EQ,23-AUG-1995,1,1,INE154A01025,1,Fast Moving Consumer Goods
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,10,1,INE095A01012,10,Financial Services
INFY,Infosys Limited,EQ,08-FEB-1995,5,1,INE009A01021,5,Information Technology
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,1,1,INE019A01038,1,Metals & Mining
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5,1,INE237A01028,5,Financial Services
LTIM,LTIMindtree Limited,EQ,21-JUL-2016,1,1,INE214T01019,1,Information Technology
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,2,1,INE018A01030,2,Construction
M&M,Mahindra & Mahindra Limited,EQ,03-JAN-1996,5,1,INE101A01026,5,Automobile and Auto Components
MARUTI,Maruti Suzuki India Limited,EQ,09-JUL-2003,5,1,INE585B01010,5,Automobile and Auto Components
NTPC,NTPC Limited,EQ,05-NOV-2004,10,1,INE733E01010,10,Power
NESTLEIND,Nestle India Limited,EQ,01-AUG-2023,1,1,INE239A01024,1,Fast Moving Consumer Goods
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5,1,INE213A01029,5,Oil Gas & Consumable Fuels
POWERGRID,Power Grid Corporation of India Limited,EQ,05-OCT-2007,10,1,INE752E01010,10,Power
RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995,10,1,INE002A01018,10,Oil Gas & Consumable Fuels
SBILIFE,SBI Life Insurance Company Limited,EQ,03-OCT-2017,10,1,INE123W01016,10,Financial Services
SHRIRAMFIN,Shriram Finance Limited,EQ,11-DEC-1996,10,1,INE721A01013,10,Financial Services
SBIN,State Bank of India,EQ,01-MAR-1995,1,1,INE062A01020,1,Financial Services
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1,1,INE044A01036,1,Healthcare
TCS,Tata Consultancy Services Limited,EQ,25-AUG-2004,1,1,INE467B01029,1,Information Technology
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-NOV-1998,1,1,INE192A01025,1,Fast Moving Consumer Goods
TATAMOTORS,Tata Motors Limited,EQ,22-JUL-1998,2,1,INE155A01022,2,Automobile and Auto Components
TATASTEEL,Tata Steel Limited,EQ,18-NOV-1998,1,1,INE081A01020,1,Metals & Mining
TECHM,Tech Mahindra Limited,EQ,28-AUG-2006,5,1,INE669C01036,5,Information Technology
TITAN,Titan Company Limited,EQ,24-SEP-2004,1,1,INE280A01028,1,Consumer Durables
ULTRACEMCO,UltraTech Cement Limited,EQ,24-AUG-2004,10,1,INE481G01011,10,Construction Materials
WIPRO,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2,Information Technology
