SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1
BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,10,1,INE171Z01018,10
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1,1,INE666D01022,1
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,5,1,INE704P01025,5
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2
DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2,1,INE0IX101010,2
EPL,EPL Limited,EQ,11-FEB-2002,2,1,INE255A01020,2
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,2,1,INE205B01023,2
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,INE042A01014,10
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2
