SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,1,1,INE821I01022,1
IRCON,Ircon International Limited,EQ,28-SEP-2018,2,1,INE962Y01021,2
KNRCON,KNR Constructions Limited,EQ,18-FEB-2008,2,1,INE634I01029,2
KPIL,Kalpataru Projects International Limited,EQ,15-DEC-2000,2,1,INE220B01022,2
KEC,KEC International Limited,EQ,10-MAR-2006,2,1,INE389H01022,2
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,2,1,INE018A01030,2
NBCC,NBCC (India) Limited,EQ,12-APR-2012,1,1,INE095N01031,1
NCC,NCC Limited,EQ,14-OCT-2003,2,1,INE868B01028,2
PNCINFRA,PNC Infratech Limited,EQ,26-MAY-2015,2,1,INE195J01029,2
RITES,RITES Limited,EQ,02-JUL-2018,10,1,INE320J01015,10
RVNL,Rail Vikas Nigam Limited,EQ,11-APR-2019,10,1,INE415G01027,10
SWSOLAR,Sterling and Wilson Renewable Energy Limited,EQ,20-AUG-2019,1,1,INE00M201021,1
