SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2,1,INE299U01018,2
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2,1,INE935N01020,2
HAVELLS,Havells India Limited,EQ,21-MAR-2001,1,1,INE176B01034,1
KAJARIACER,Kajaria Ceramics Limited,EQ,01-JUN-2004,1,1,INE217B01036,1
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10,1,INE303R01014,10
RAJESHEXPO,Rajesh Exports Limited,EQ,09-FEB-2000,1,1,INE343B01030,1
TITAN,Titan Company Limited,EQ,24-SEP-2004,1,1,INE280A01028,1
VGUARD,V-Guard Industries Limited,EQ,13-MAR-2008,1,1,INE951I01027,1
VOLTAS,Voltas Limited,EQ,12-APR-1995,1,1,INE226A01021,1
WHIRLPOOL,Whirlpool of India Limited,EQ,06-APR-2010,10,1,INE716A01013,10
