SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10
BLS,BLS International Services Limited,EQ,14-JUN-2016,1,1,INE153T01027,1
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10,1,INE427F01016,10
DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1,1,INE872J01023,1
EIHOTEL,EIH Limited,EQ,08-FEB-1995,2,1,INE230A01023,2
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021,1,1,INE07O001026,1
NYKAA,FSN E-Commerce Ventures Limited,EQ,10-NOV-2021,1,1,INE388Y01029,1
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10,1,INE933S01016,10
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1,1,INE053A01029,1
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019,2,1,INE335Y01020,2
NAUKRI,Info Edge (India) Limited,EQ,21-NOV-2006,10,1,INE663F01024,10
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,2,1,INE797F01020,2
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013,10,1,INE599M01018,10
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-APR-2018,10,1,INE970X01018,10
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,16-JUL-2009,10,1,INE998I01010,10
MEDPLUS,Medplus Health Services Limited,EQ,23-DEC-2021,2,1,INE804L01022,2
RTNINDIA,RattanIndia Enterprises Limited,EQ,30-JUL-2012,2,1,INE834M01019,2
RBA,Restaurant Brands Asia Limited,EQ,14-DEC-2020,10,1,INE07T201019,10
SAPPHIRE,Sapphire Foods India Limited,EQ,18-NOV-2021,10,1,INE806T01012,10
TRENT,Trent Limited,EQ,07-JUN-2004,1,1,INE849A01020,1
MANYAVAR,Vedant Fashions Limited,EQ,16-FEB-2022,1,1,INE825V01034,1
WESTLIFE,WESTLIFE FOODWORLD LIMITED,EQ,05-JUN-2023,2,1,INE274F01020,2
ZOMATO,Zomato Limited,EQ,23-JUL-2021,1,1,INE758T01015,1
