SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1,1,INE022Q01020,1
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,10,1,INE758E01017,10
LTF,L&T Finance Limited,EQ,12-AUG-2011,10,1,INE498L01015,10
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2,1,INE774D01024,2
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014,2,1,INE522D01027,2
MFSL,Max Financial Services Limited,EQ,17-MAY-2000,2,1,INE180A01020,2
MCX,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012,10,1,INE745G01035,10
PAYTM,One 97 Communications Limited,EQ,18-NOV-2021,1,1,INE982J01020,1
POLICYBZR,PB Fintech Limited,EQ,15-NOV-2021,2,1,INE417T01026,2
PEL,Piramal Enterprises Limited,EQ,08-FEB-1995,2,1,INE140A01024,2
SUNDARMFIN,Sundaram Finance Limited,EQ,07-JAN-1998,10,1,INE660A01013,10
