SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,INE007A01025,1
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10,1,INE679A01013,10
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,1,1,INE180C01042,1
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10,1,INE741K01010,10
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10,1,INE063P01018,10
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2,1,INE481N01025,2
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10,1,INE031A01017,10
ISEC,ICICI Securities Limited,EQ,04-APR-2018,5,1,INE763G01038,5
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,INE008A01015,10
SAMMAANCAP,Indiabulls Housing Finance Limited,EQ,23-JUL-2013,2,1,INE148I01020,2
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10,1,INE053F01010,10
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006,1,1,INE780C01023,1
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998,1,1,INE168A01041,1
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000,2,1,INE036D01028,2
KFINTECH,Kfin Technologies Limited,EQ,29-DEC-2022,10,1,INE138Y01010,10
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022,10,1,INE0J1Y01017,10
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-SEP-2007,1,1,INE338I01027,1
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,06-NOV-2017,10,1,INE298J01013,10
NUVAMA,Nuvama Wealth Management Limited,EQ,26-SEP-2023,10,1,INE531F01015,10
PNBHOUSING,PNB Housing Finance Limited,EQ,07-NOV-2016,10,1,INE572E01012,10
SBFC,SBFC Finance Limited,EQ,16-AUG-2023,10,1,INE423Y01016,10
STARHEALTH,Star Health and Allied Insurance Company Limited,EQ,10-DEC-2021,10,1,INE575P01011,10
TMB,Tamilnad Mercantile Bank Limited,EQ,15-SEP-2022,10,1,INE668A01016,10
TATAINVEST,Tata Investment Corporation Limited,BE,24-JUN-1998,10,1,INE672A01018,10
NIACL,The New India Assurance Company Limited,EQ,13-NOV-2017,5,1,INE470Y01017,5
UTIAMC,UTI Asset Management Company Limited,EQ,12-OCT-2020,10,1,INE094J01016,10
UJJIVANSFB,Ujjivan Small Finance Bank Limited,EQ,12-DEC-2019,10,1,INE551W01018,10
