SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2,1,INE475E01026,2
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023,1,1,INE338H01029,1
FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1
GLS,Glenmark Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2
MEDANTA,Global Health Limited,EQ,16-NOV-2022,2,1,INE474Q01031,2
PPLPHARMA,Piramal Pharma Limited,EQ,19-OCT-2022,10,1,INE0DK501011,10
RAINBOW,Rainbow Childrens Medicare Limited,EQ,10-MAY-2022,10,1,INE961O01016,10
SPARC,Sun Pharma Advanced Research Company Limited,EQ,18-JUL-2007,1,1,INE232I01014,1
VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1,1,INE043W01024,1
