SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1
BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5,1,INE089A01023,5
GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1,1,INE068V01023,1
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1
GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,1,1,INE571A01038,1
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,1,1,INE572A01036,1
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,2,1,INE947Q01028,2
LUPIN,Lupin Limited,EQ,10-SEP-2001,2,1,INE326A01037,2
MANKIND,Mankind Pharma Limited,EQ,09-MAY-2023,1,1,INE634S01028,1
NATCOPHARM,Natco Pharma Limited,EQ,27-DEC-1995,2,1,INE987B01026,2
SANOFI,Sanofi India Limited,EQ,19-MAY-2003,10,1,INE058A01010,10
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1,1,INE044A01036,1
TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-NOV-2002,5,1,INE685A01028,5
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1
