SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
COFORGE,Coforge Limited,EQ,30-AUG-2004,10,1,INE591G01017,10
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2,1,INE860A01027,2
INFY,Infosys Limited,EQ,08-FEB-1995,5,1,INE009A01021,5
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2,1,INE010V01017,2
LTIM,LTIMindtree Limited,EQ,21-JUL-2016,1,1,INE214T01019,1
MPHASIS,MphasiS Limited,EQ,04-JUN-2004,10,1,INE356A01018,10
PERSISTENT,Persistent Systems Limited,EQ,06-APR-2010,5,1,INE262H01021,5
TCS,Tata Consultancy Services Limited,EQ,25-AUG-2004,1,1,INE467B01029,1
TECHM,Tech Mahindra Limited,EQ,28-AUG-2006,5,1,INE669C01036,5
WIPRO,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2
