SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2
COFORGE,Coforge Limited,EQ,30-AUG-2004,10,1,INE591G01017,10
CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2,1,INE419U01012,2
INTELLECT,Intellect Design Arena Limited,EQ,18-DEC-2014,5,1,INE306R01017,5
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,10,1,INE04I401011,10
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2,1,INE010V01017,2
MASTEK,Mastek Limited,EQ,10-MAY-1995,5,1,INE759A01021,5
MPHASIS,MphasiS Limited,EQ,04-JUN-2004,10,1,INE356A01018,10
OFSS,Oracle Financial Services Software Limited,EQ,28-JUN-2002,5,1,INE881D01027,5
PERSISTENT,Persistent Systems Limited,EQ,06-APR-2010,5,1,INE262H01021,5
SONATSOFTW,Sonata Software Limited,EQ,28-JUL-1999,1,1,INE269A01021,1
TATAELXSI,Tata Elxsi Limited,EQ,17-SEP-2003,10,1,INE670A01012,10
ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,INE520A01027,2
