SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10
CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,10,1,INE121E01018,10
NHPC,NHPC Limited,EQ,01-SEP-2009,10,1,INE848E01016,10
NLCINDIA,NLC India Limited,EQ,23-AUG-2000,10,1,INE589A01014,10
NTPC,NTPC Limited,EQ,05-NOV-2004,10,1,INE733E01010,10
POWERGRID,Power Grid Corporation of India Limited,EQ,05-OCT-2007,10,1,INE752E01010,10
SJVN,SJVN Limited,EQ,20-MAY-2010,10,1,INE002L01015,10
TATAPOWER,Tata Power Company Limited,EQ,03-APR-1996,1,1,INE245A01021,1
TORNTPOWER,Torrent Power Limited,EQ,28-NOV-2006,10,1,INE813H01021,10
