SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10
DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5
LODHA,Macrotech Developers Limited,EQ,19-APR-2021,10,1,INE670K01029,10
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,10,1,INE813A01018,10
OBEROIRLTY,Oberoi Realty Limited,EQ,20-OCT-2010,10,1,INE093I01010,10
PHOENIXLTD,The Phoenix Mills Limited,EQ,23-APR-2007,2,1,INE211B01039,2
PRESTIGE,Prestige Estates Projects Limited,EQ,27-OCT-2010,10,1,INE811K01011,10
SOBHA,Sobha Limited,EQ,20-DEC-2006,10,1,INE671H01015,10
SUNTECK,Sunteck Realty Limited,EQ,13-NOV-2009,1,1,INE805D01034,1
