SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10
GMRAIRPORT,GMR Airports Infrastructure Limited,EQ,21-AUG-2006,1,1,INE776C01039,1
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10,1,INE517F01014,10
INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,10,1,INE646L01027,10
JSWINFRA,JSW Infrastructure Limited,EQ,03-OCT-2023,2,1,INE880J01026,2
MMTC,MMTC Limited,EQ,09-APR-2012,1,1,INE123F01029,1
QUESS,Quess Corp Limited,EQ,12-JUL-2016,10,1,INE615P01015,10
REDINGTON,Redington Limited,EQ,15-FEB-2007,2,1,INE891D01026,2
TVSSCS,TVS Supply Chain Solutions Limited,EQ,23-AUG-2023,1,1,INE395N01027,1
ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10,1,INE738I01010,10
